Category,Program Name,Location,Stipend/Compensation,Eligibility/Details,Deadline
Indian,"[VSRP, Tata Institute of Fundamental Research](https",India,N/A,"://www.tifr.res.in/~vsrp/apply/apply.htm) Research in the areas of Astronomy, Biology, Chemistry, Computer Science, Mathematics, and Physics. One of the top research institute of India",31 January 9.[IIIT Bangalore](https://www.iiitb.ac.in/summer-internship) Deadline: 12 April
Indian,[NIT Roukela](https,India,N/A,://eapplication.nitrkl.ac.in/internship/),6 May
Indian,[IIT Karagpur Summer Internship](https,India,N/A,://cse.iitkgp.ac.in/?summerinterns.html) Only for circuital branch students.,31 March
Indian,"[MT-NLP Lab, IIIT Hyderabad](https",India,N/A,://ltrc.iiit.ac.in/nlpmt/internship_form.php),10 April
Indian,"[Software Engineering Research Center, IIIT Hyderabad.](https",India,N/A,://serc.iiit.ac.in/srip/),2nd May
Indian,[ISRO Intenship](https,India,N/A,://www.isro.gov.in/research-and-academia-interface/internships-projects-training),31 March
Indian,"[CeNSE, IISc Bangalore](http",India,N/A,://www.cense.iisc.ac.in/content/summer-program) In the field of nano science and engineering.,29 February
Indian,[IIST Internship](https,India/N/A,N/A,://www.iist.ac.in/career/4) For students of mechnaical ad aerospace engineering,20 April
Indian,[IIT Gandhinagar Summer Internship](https,India,N/A,://sites.iitgn.ac.in/srip/),1 March     18.[IIT Guwahati Summer Internship](https://www.iitg.ac.in/cse/summerinternship/) Deadline: 31 March
Indian,[IIT Hyderabad Summer Internship](https,India,N/A,://cse.iith.ac.in/admissions/internships.html) Only for circuital students,20 March
Indian,[NITI Ayog](https,India,N/A,://niti.gov.in/internship) Best for the aspirants who are aiming for UPSC Online application link will be open from 1st to 10th of every month,N/A
Indian,[IISER Pune Summer Internship](https,India,N/A,"://www.iiserpune.ac.in/~sspc/) Research in biology, chemistry, mathematics, physics and Earth sciences with a strong focus on interdisciplinary research",29 February
Indian,[IISER Bhopal Summer Internship](https,India,N/A,://www.iiserb.ac.in/doaa/internship) Both Summer and Winter Internship,31 MARCH
Indian,[IISER Kolkata Summer Internship](https,India,N/A,://www.iiserkol.ac.in/~summer.research/),8 MARCH
Indian,[JNCASR Summer Internship](http,India/N/A,N/A,"://www.jncasr.ac.in/eobumain.php/Summer-Research-Fellowships-Programme/15/1/12/) Research in the field of Life Sciences, Material Sciences, Chemical Sciences,physical Sciences, Engineering Sciences, Mathematics, Atmospheric Sciences.",1 November
Indian,[IIIT Allahabad Summer Internship](https,India,N/A,"://www.cogcomp.in/summer-research-internship-program-2020/) Area of Research: Cognitive Computing, Computer Vision, Complex Networks, Language and Dialogue Processing, EEG Analysis Registration fee ia 7500",Students can apply through out the year (no deadline for application).
Indian,[IISc Bangalore internship with Ankit Singh](https,India,N/A,://internshala.com/aniket-singh-iip) Only 5-6 students are selected for this program.,17 January
Indian,[IIT Gandhinagar internship with Ankit Singh](https,India,N/A,://internshala.com/aniket-singh-iip) Only 5-6 students are selected for this program.,17 January
Indian,[IISER Mohali](https,India,N/A,://www.iisermohali.ac.in/home/front-page-articles/instructions-for-summer-research-program-2020),5 March
Indian,[NPTEL Summer Internship](https,India/N/A,N/A,://nptel.ac.in/internship/) Only for NPTEL Course exam topper,1 March
Indian,[IIT BHU SUMMER INTERNSHIP](https,India,N/A,://internship.iitbhu.ac.in/),1 April
Indian,[IIT Mandi Summer Internship](http,India,N/A,://oas.iitmandi.ac.in/externalportal/) Only 2nd Year students,30 April
Indian,[IIT Palakkad Summer Internship](https,India,N/A,://sun.iitpkd.ac.in/) Only for 3rd Year Students,22 March
Indian,[IIT GOA Summer Internship](https,India,N/A,://www.iitgoa.ac.in/INTERN/form.php),20 March 34.[IIT Ropar Summer Internship](http://onlineportal.iitrpr.ac.in/summer-internship-2020) Deadline: 27 March 35.[AcSIR – Dr. APJ Abdul Kalam Summer Training Program 2020](http://acsir.res.in/acsir-dr-apj-abdul-kalam-summer-training-program/) CGPA > 7.0 (IV SEMESTERS) Deadline: 31 December
Indian,[Indian Institute of Astrophysics](https,India/N/A,N/A,://www.iiap.res.in/summer_school/?q=HOME),27 March
Indian,[Institute of Chemical Technology Summer Internship](https,India/N/A,N/A,://www.ictmumbai.edu.in/newsFiles/Advertisement-st-2019.pdf) Only for Chemical Department Students,31 March
Indian,[Physics Laboratory Research](https,India/N/A,N/A,"://www.prl.res.in/prl-eng/summer_internship) Research in the field of Physics, Applied Physics, Astronomy & Astrophysics, Optics/Applied Optics, Laser Physics, Space Physics, Geology, Geophysics, Atmospheric Sciences, Environmental Sciences, Meteorology, Chemistry, Ocean Sciences",25 March 39.[National Institute of Industriual Engineering Summer Internship](https://www.nitie.edu/index.php/en/component/content/458?task=view) Deadline: 31 March
Indian,[Indian Institute of Remote Sensing Summer Internship](https,India,N/A,://www.iirs.gov.in/externalprojects/internship),"31 March 41.[Raman research Institute](http://www.rri.res.in/visitingstudents.html) Eligibility: 1st and 2nd Year Undergraduate Students Have to mail to researchers to get acceptance letter Deadline: 31 March 42.[Summer Internship in IIT Hyderabad](https://ee.iith.ac.in/intern.html) Only for candidates from EE, ECE and EI background are eligible to apply Deadline: 21 March"
